Qty;Value;Device;Package;Parts;Description;CONRAD;MF;MOUSER;MPN;OC_FARNELL;OC_NEWARK;PROD_ID;SPEC;SPICEPREFIX;STOCK;VALUE;NEED
2;;JP1E;JP1;JP2, JP3;JUMPER;1560728 - 62;;200-TSW10223TS;;;;;;;2;;0
1;;RCA-4-CHANNEL;BKL-072385;X1;;1578879 - 62;;806-KLP42X-61-WWRR;;;;;;;0;;1
2;0.1µ 100V;C-EUC1206K;C1206K;C55, C56;CAPACITOR, European symbol;458125 - 62;;77-VJ1206Y104KXBAT;;;;;;Kemet C1206C104K1RAC7800+;0;;2
1;1000V 25A;RECTIFIER-FB100;FB100;B1;;1582009 - 62;;833-GBJL2510-BP;;;;;TC-GBI25M;;0;;1
6;100k;R-EU_MELF0204W;MINI_MELF-0204W;R8, R12, R17, R31, R36, R39;RESISTOR, European symbol;1621537 - 62;;756-WRM024HPC100KFT3;;;;;Viking Tech CSRV0204FTDG1003;R;0;;6
3;100k;R-EU_R0603;R0603;R46, R48, R49;RESISTOR, European symbol;1585286 - 62;;71-RCA0603100KJNEC;;;;;;R;3;;0
1;100k;TRIMPOT-SMD-3MM-OPEN-1/10W-25%;TRIMPOT-SMD-TC33X;VR1;Trimming Potentiometer (Trimpot);1618568 - 62;;858-35WR100KLFTR;;;;RES-12428;;;0;10k;1
24;100n;C-EUC0603;C0603;C2, C3, C5, C7, C8, C10, C14, C15, C18, C21, C23, C24, C28, C29, C34, C43, C49, C52, C58, C62, C63, C64, C65, C66;CAPACITOR, European symbol;457901 - 62;;710-885012206071;;;;;;C;24;;0
6;10k;MCP46X1;SOP65P640X120-14;U2, U3, U4, U5, U7, U8;;1083246 - 62;;579-MCP4641-103E/ST;;;;;;;6;;0
5;10k;R-EU_R0603;R0603;R3, R13, R43, R44, R47;RESISTOR, European symbol;1585269 - 62;;603-RC0603FR-0710KL;;;;;;R;5;;0
2;10mF 50V;TEAPO-SLG109M050S1A5T;EB35D;C11, C12;;1325816 - 62;;647-LLS1H103MELC;;;;;Teapo SLG109M050S1A5T40K;;0;;2
2;10µ 10V;CPOL-EU153CLV-0505;153CLV-0505;C60, C61;POLARIZED CAPACITOR, European symbol;421520 - 6;;710-865080642006;;;;;;C;0;;2
2;12V 8A;RELAY-F40.52;F4052;K1, K2;;629528 - 62;;655-RT424012;;;;;Hongfa HF115F/012-2ZS4A;;0;;2
4;1N4148;DIODEBAS16;SOD-323;D4, D8, D9, D10;Diode;1582023 - 62;;512-1N4148WS;;;;DIO-09646;;;4;250mA/100V;0
3;1k;R-EU_R0603;R0603;R45, R50, R51;RESISTOR, European symbol;1585255 - 62;;603-RC0603FR-071KL;;;;;;R;3;;0
6;1n;C-EU050-025X075;C050-025X075;C17, C27, C33, C39, C41, C48;CAPACITOR, European symbol;1235242 - 62;;80-R82EC1100AA50K;;;;;Kemet R82EC1100AA50K+;C;0;;6
6;1µ;C-EU050-050X075;C050-050X075;C20, C22, C32, C37, C40, C57;CAPACITOR, European symbol;1235274 - 62;;80-R82DC4100AA60K;;;;;Kemet R82DC4100AA60K+;C;0;;6
1;1µ;C-EUC0603;C0603;C67;CAPACITOR, European symbol;457913 - 62;;710-885012106022;;;;;;C;1;;0
2;1µ 50V;C-EUC1206K;C1206K;C53, C54;CAPACITOR, European symbol;458140 - 62;;80-C1206C105M5RECLR;;;;;;Kemet C1206C105K5RAC7800+;0;;2
1;22;R-EU_R0603;R0603;R27;RESISTOR, European symbol;1585778 - 62;;603-RC0603FR-0722RL;;;;;;R;0;;1
8;220n 63V;C-EU050-025X075;C050-025X075;C26, C30, C31, C36, C42, C45, C46, C50;CAPACITOR, European symbol;1235241 - 62;;80-R82DC3220AA60K;;;;;Kemet R82DC3220AA60K+;C;0;;8
2;220µ 25V;CPOL-EU175TMP-0810;175TMP-0810;C1, C13;POLARIZED CAPACITOR, European symbol;404629 - 62;;647-UWT1E221MNL1GS;;;;;;C;2;;0
2;22R 1W;R-EU_MELF0207W;MINI_MELF-0207W;R20, R23;RESISTOR, European symbol;1621763 - 62;;756-WRM0207HPC22RFT2;;;;;Viking Tech CSRV0207FTDT0220;R;0;;2
4;22µ 2.2A;INDUCTOR12MM-SMD;INDUCTOR-12MM;L1, L2, L3, L4;;1589286 - 62;;710-744771220;;;;;TRU COMPONENTS TC-PIS4720-220M203;;0;;4
2;330p 630V;C-EU050-045X075;C050-045X075;C38, C47;CAPACITOR, European symbol;450521 - 62;;505-FKP2C003301D00KI;;;;;Wima FKP2J003301D00HSSD;C;0;;2
1;39k;R-EU_R0603;R0603;R41;RESISTOR, European symbol;1584631 - 62;;603-RC0603FR-0739KL;;;;;;R;1;;0
2;4.7n;C-EU075-032X103;C075-032X103;C19, C51;CAPACITOR, European symbol;459871 - 62;;594-222237188472;;;;;Wima FKS3D014702B00KSSD;C;0;;2
2;4.7µ 10V;CPOL-EU153CLV-0505;153CLV-0505;C6, C9;POLARIZED CAPACITOR, European symbol;1280266 - 62;;710-865230642008;;;;;;C;2;;0
6;4007;DIODE;SODFL5024X231;D1, D2, D3, D5, D6, D7;;160493 - 62;;583-FM4007W-W;;;;;4007;;6;;0
1;470;RESISTOR-0617-22;0617/22;R1;;402095 - 62;;279-EP5WS470RJ;;;;;Hochlast-Widerstand 470 Ω axial bedrahtet 5 W 5 % 1 St.;;0;;1
2;470n 100V;C-EU050-045X075;C050-045X075;C35, C44;CAPACITOR, European symbol;459945 - 62;;505-MKS2D034701E00JI;;;;;Wima MKS2D034701E00KSSD;C;0;;2
2;470µ 16V;CPOL-EU175TMP-0810;175TMP-0810;C4, C16;POLARIZED CAPACITOR, European symbol;404626 - 62;;647-UWT1C471MNL1S;;;;;;C;2;;0
2;4k7;R-EU_R0603;R0603;R2, R52;RESISTOR, European symbol;1585263 - 62;;603-AC0603JR-134K7L;;;;;;R;2;;0
8;5.6k;R-EU_MELF0207W;MINI_MELF-0207W;R6, R7, R9, R10, R29, R30, R32, R33;RESISTOR, European symbol;1621942 - AN;;71-SMM02070C5601FBP0;;;;;Viking Tech CSRV0207FTDT5601;R;0;;8
2;680p;C-EU050-045X075;C050-045X075;C25, C59;CAPACITOR, European symbol;450548 - 62;;505-FKP2J006801D00KS;;;;;Wima FKP2J006801D00HSSD;C;0;;2
4;6MM;TERMINAL-1;TE-726386;J1, J2, J3, J4;;808428 - 62;;571-726386-2;;;;;;;2;;2
16;7.68k;R-EU_MELF0207W;MINI_MELF-0207W;R4, R5, R11, R14, R15, R18, R19, R21, R25, R26, R28, R35, R37, R38, R40, R42;RESISTOR, European symbol;1621954 - 62;;71-SMM02070C7501FBP0;;;;;Viking Tech CSRV0207FTDT7681;R;0;;16
1;74HCT04;7404D;SO14;IC7;Hex INVERTER;144614 - 62;;771-74HCT04D;;;;;;;1;;0
1;7805;78XXS;78XXS;IC2;VOLTAGE REGULATOR;179205 - 62;;511-L7805CV;;;;;;;1;;0
1;7812;78XXS;78XXS;IC1;VOLTAGE REGULATOR;179230 - 62;;511-L7812CV;;;;;;;1;;0
1;7912;79XXS;79XXS;IC3;VOLTAGE REGULATOR;156077 - 62;;511-L7912CV;;;;;;;1;;0
4;8R 0.4W;R-EU_MELF0204W;MINI_MELF-0204W;R16, R22, R24, R34;RESISTOR, European symbol;1621223 - 62;;756-WRM0204HPC8R2FT3;;;;;Viking Tech CSRV0204FTDG7R68;R;0;;4
4;BC817;BC817-16-NPN-SOT23-BEC;SOT23-BEC;T1, T2, T3, T4;NPN Transistror;1112873 - 62;;863-BC817-16LT3G;;;;;;;6;;0
1;DISPLAY;JST-XH4;JST-4-PTH-VERT;J8;;741206 - 62;;538-35312-0260;;;;;;;1;;0
1;ENCODER;JST-XH4;JST-4-PTH-VERT;J7;;741206 - 62;;538-35312-0260;;;;;;;1;;0
1;EXPANSION;PINHD-1X6;1X06;JP5;PIN HEADER;1390113 - 62;;710-61300611121;;;;;;;0;;1
1;GND_CONNECT;GND_CONNECT;GND_CONNECT;JP1;Use to make a connection of multiple grounds in only one place.;;;;;;;;;;1;;0
1;HEATSINK-PENTIUM;HEATSINK-PENTIUM;HEATSINK-PENTIUM;U$1;;;;;;;;;;;1;;0
2;HEATSINK-SK104;HEATSINK-SK104;SK104-PAD;KK1, KK4;;188093 - 62;;490-HSE-B20254-035H;;;;;;;2;;0
1;HEATSINK-SK95;HEATSINK-SK95;SK95-2M3;KK2;;188158 - 62;;490-HSE-B2111-038;;;;;;;1;;0
1;ICSP;CONN-IDC-6;057-006-1;X3;;1560967 - 62;;200-TSW10307TD;;;;;;;1;;0
2;JST-XH2;JST-XH2;JST-2-PTH-VERT;J10, X2;;741161 - 62;;575-3191010200006000;;;;;;;2;;0
1;LM1117-3.3;PMIC-CJT1117-3.3(SOT223);SOT-223;U1;310030097;1261149 - 62;;926-LM1117MPX3.3NOPB;CJT1117-3.3;;;;;;1;CJT1117-3.3-SOT223;0
2;LM358D;2AMP_P8+4D;SO08;IC8, IC9;OP AMP;1010764 - 62;;511-LM358DT;;;;;;;2;;0
4;M3;HOLE-3MM-PAD;3,0-PAD;H1, H2, H3, H4;;;;;;;;;;;4;;0
1;MEGA8-AI;MEGA8-AI;TQFP32-08;IC6;MICROCONTROLLER;155196 - 62;;556-ATMEGA328-AU;ATMEGA8-16AU;;;;;;1;;0
2;OPA134PA;LM358N;DIL08;IC4, IC5;"OP AMP also LM158; LM258; LM2904";1011117 - 62;;595-OPA134PA;;;;;;;0;;2
1;SERIAL;PINHD-1X4;1X04;JP4;PIN HEADER;1560647 - 62;;649-68001-204HLF;;;;;;;0;;1
1;TDA7498L;TDA7498L;SOP50P1010X245-36;U6;;1184453 - 62;;511-TDA7498TR;;;;;;;0;;1
2;TERMINAL-BLOCK-2PLUG-IN;TERMINAL-BLOCK-2PLUG-IN;MSTBV2;J5, J6;;1327203 - 62;;651-1954919;;;;;;;2;;0
1;USB;USB;ECON-USBBUVA;J9;;1311468 - 62;;523-GSB19110KEU;;;;;;;0;;1
